"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20141525,"141525 (2002 FV5)",141525,,,Y,Y,0,18.07,,,,,,,,,,14.45,,,,,,,,,"JPL 140",2460600.5,60600,2024-10-17.0,J2000,0.7245,1.087,0.299,34.04,38.84,308.11,251.11,1.87,0.8697,2460725.70,2025-02-19.1,414,1.13,0.0343,13.4,3.81,5.31,6.8e-08,1.4e-09,7.4e-08,9.5e-06,6.4e-06,7.0e-06,9.1e-06,2.4e-09,1.7e-09,1.1e-05,7.9e-07,APO,"Otto Matic",8116,2002-03-21,2024-06-09,713,,,0,.51995,,,,,,,,,
20141527,"141527 (2002 FG7)",141527,,,Y,Y,0,18.94,,,,,,,,,,6.306,,,,,,,,,"JPL 89",2460600.5,60600,2024-10-17.0,J2000,0.6268,1.513,0.565,9.20,187.48,247.69,82.57,2.46,0.5295,2460444.55,2024-05-14.0,680,1.86,0.0416,16.2,2.9,4.27,2.8e-08,3.2e-09,4.4e-08,5.6e-06,8.7e-06,9.4e-06,6.8e-06,5.2e-09,1.7e-09,1.2e-05,2.2e-06,APO,"Otto Matic",11307,1990-07-23,2021-07-07,764,1,2,0,.31447,,,,,,,,,
20141593,"141593 (2002 HK12)",141593,,,Y,Y,0,18.32,,,,,,,,,,12.69,,,,,,,,,"JPL 191",2460600.5,60600,2024-10-17.0,J2000,0.5287,2.002,0.943,2.35,306.98,2.25,301.23,3.06,0.348,2460769.37,2025-04-03.8,1.03e+03,2.83,0.0237,9.21,2.23,3.65,3.5e-09,8.6e-10,7.3e-09,1.7e-06,6.2e-05,6.2e-05,1.0e-06,1.3e-09,2.2e-10,3.0e-06,6.7e-07,APO,"Otto Matic",13710,1985-06-11,2022-12-24,1486,3,2,0,.3265,,,,,,,,,
20141614,"141614 (2002 JV15)",141614,,,Y,Y,0,19.52,,,,,,,,,,,,,,,,,,,"JPL 63",2460600.5,60600,2024-10-17.0,J2000,0.5361,1.624,0.753,7.19,200.62,127.39,269.02,2.49,0.4763,2460791.50,2025-04-26.0,756,2.07,0.0395,15.4,2.9,4.14,5.2e-08,2.0e-08,7.6e-08,1.4e-05,7.4e-05,7.2e-05,5.4e-05,3.1e-08,8.9e-09,1.2e-04,1.4e-05,APO,"Otto Matic",2954,2002-04-26,2010-05-28,295,,,0,.55446,,,,,,,,,
20141851,"141851 (2002 PM6)",141851,,,Y,Y,0,17.81,,,,,,,,,,,,,,,,,,,"JPL 160",2460600.5,60600,2024-10-17.0,J2000,0.8501,1.198,0.180,19.13,304.00,224.53,11.09,2.22,0.7517,2460585.74,2024-10-02.2,479,1.31,0.0384,14.9,2.89,4.82,2.9e-08,1.0e-09,3.5e-08,6.8e-06,1.0e-05,9.7e-06,6.9e-06,1.9e-09,9.4e-10,9.2e-06,6.0e-07,APO,"Otto Matic",8386,2000-09-20,2023-09-06,869,,,0,.49544,,,,,,,,,
20143404,"143404 (2003 BD44)",143404,,,Y,Y,0,16.95,,,,,,,,,,78.64,,,,,,,,,"JPL 230",2460600.5,60600,2024-10-17.0,J2000,0.6075,1.968,0.772,2.66,181.18,89.36,242.26,3.16,0.3571,2460930.23,2025-09-11.7,1.01e+03,2.76,0.0178,6.94,1.97,3.62,1.3e-09,1.7e-09,2.4e-09,6.7e-08,3.0e-06,3.2e-06,1.4e-06,2.7e-09,4.6e-10,4.3e-06,1.3e-06,APO,"Otto Matic",15651,1981-02-28,2024-01-05,1572,3,0,0,.48258,,,,,,,,,
20143487,"143487 (2003 CR20)",143487,,,Y,Y,0,18.94,,,,,,,,,,7.021,,,,,,,,,"JPL 61",2460600.5,60600,2024-10-17.0,J2000,0.7301,2.124,0.573,4.99,177.06,88.83,329.95,3.67,0.3184,2460694.89,2025-01-19.3,1.13e+03,3.1,0.000297,0.116,1.48,3.32,3.9e-08,1.7e-08,7.9e-08,1.2e-05,5.5e-05,5.5e-05,2.3e-05,3.0e-08,3.8e-09,7.3e-05,1.4e-05,APO,"Otto Matic",13542,1975-10-06,2012-11-02,287,,,0,.52495,,,,,,,,,
20143624,"143624 (2003 HM16)",143624,,,Y,Y,0,15.96,,,,,,,2.137,,0.169,32.1,,,,,,,,0.04,"JPL 250",2460600.5,60600,2024-10-17.0,J2000,0.5773,1.967,0.831,35.54,195.84,47.18,262.55,3.10,0.3573,2460873.24,2025-07-16.7,1.01e+03,2.76,0.0499,19.4,2.3,3.46,1.4e-09,2.2e-09,2.9e-09,3.8e-07,2.4e-07,4.0e-07,1.9e-06,3.5e-09,6.0e-10,5.8e-06,1.7e-06,APO,"Otto Matic",7557,2003-04-27,2024-01-04,1119,,,0,.50924,,,,,,,,,
20143649,"143649 (2003 QQ47)",143649,,,Y,Y,1,17.39,,,,,,,,,,2.6446,,,,,,,,,"JPL 188",2460600.5,60600,2024-10-17.0,J2000,0.1870,1.085,0.882,62.10,0.99,104.96,174.10,1.29,0.8717,2460400.77,2024-03-31.2,413,1.13,0.00463,1.8,3.84,5.21,4.8e-09,5.3e-10,5.4e-09,8.1e-07,9.2e-07,4.1e-06,5.0e-06,6.2e-10,6.3e-10,5.7e-06,3.0e-07,APO,"Otto Matic",7198,2003-08-24,2023-05-09,1244,0,1,0,.44631,,,,,,,,,
20143651,"143651 (2003 QO104)",143651,,,Y,Y,0,16.09,,,,,,,,,,114.4,,,,,,,,,"JPL 282",2460600.5,60600,2024-10-17.0,J2000,0.5262,2.133,1.011,11.62,58.17,183.60,335.50,3.26,0.3163,2460677.96,2025-01-02.4,1.14e+03,3.12,0.00149,0.578,1.77,3.51,2.3e-09,7.8e-10,4.9e-09,1.6e-07,9.8e-07,8.5e-07,1.1e-06,1.2e-09,1.7e-10,3.4e-06,6.2e-07,APO,"Otto Matic",15601,1981-07-10,2024-03-27,1266,3,3,0,.49364,,,,,,,,,
20143992,"143992 (2004 AF)",143992,,,Y,Y,0,16.16,,,,,,,,,,,,,,,,,,,"JPL 190",2460600.5,60600,2024-10-17.0,J2000,0.5538,1.971,0.879,27.13,315.62,57.98,205.38,3.06,0.3562,2461034.62,2025-12-25.1,1.01e+03,2.77,0.0338,13.1,2.84,3.55,1.7e-09,1.4e-09,3.4e-09,2.9e-07,2.5e-07,3.8e-07,1.1e-06,2.2e-09,3.8e-10,3.6e-06,1.1e-06,APO,"Otto Matic",14345,1985-01-21,2024-05-01,1127,,,0,.58795,,,,,,,,,
20144332,"144332 (2004 DV24)",144332,,,Y,Y,0,16.61,,,,,,,,,,7.985,,,,,,,,,"JPL 282",2460600.5,60600,2024-10-17.0,J2000,0.2898,1.423,1.011,55.89,171.13,186.41,206.42,1.84,0.5806,2460865.00,2025-07-08.4,620,1.7,0.00623,2.42,3.6,4.22,6.0e-10,6.1e-10,7.9e-10,1.8e-07,1.4e-07,2.0e-07,7.8e-07,7.8e-10,3.7e-10,1.5e-06,4.0e-07,APO,"Otto Matic",25161,1955-04-24,2024-03-13,1991,3,0,0,.44669,,,,,,,,,
20144898,"144898 (2004 VD17)",144898,,,Y,Y,0,18.89,,,,,,,,,,3.369,,,,,,,,,"JPL 215",2460600.5,60600,2024-10-17.0,J2000,0.5886,1.508,0.620,4.22,223.98,90.98,306.24,2.40,0.5323,2460701.51,2025-01-26.0,676,1.85,0.00139,0.54,2.93,4.32,2.0e-08,2.2e-09,3.1e-08,3.3e-06,1.9e-05,1.9e-05,8.3e-06,3.5e-09,1.2e-09,1.6e-05,1.5e-06,APO,"Otto Matic",8029,2002-02-16,2024-02-10,1446,,,0,.3814,,,,,,,,,
20152560,"152560 (1991 BN)",152560,,,Y,Y,0,19.23,,,,,,,,,,3.49,,,,,Q,,,,"JPL 114",2460600.5,60600,2024-10-17.0,J2000,0.3979,1.443,0.869,3.45,268.81,80.99,256.49,2.02,0.5683,2460782.62,2025-04-17.1,633,1.73,0.021,8.16,3.42,4.57,2.4e-08,2.0e-09,3.5e-08,3.2e-06,4.0e-05,4.0e-05,9.9e-06,2.7e-09,1.2e-09,1.8e-05,1.3e-06,APO,"Otto Matic",12099,1991-01-19,2024-03-05,516,1,2,0,.49774,,,,,,,,,
20152561,"152561 (1991 RB)",152561,,,Y,Y,0,19.10,,,,,,,,,,,,,,,,,,,"JPL 40",2460600.5,60600,2024-10-17.0,J2000,0.4857,1.454,0.748,19.58,359.29,68.96,279.78,2.16,0.5619,2460743.26,2025-03-08.7,641,1.75,0.0384,14.9,3.37,4.45,1.1e-07,6.0e-09,1.5e-07,2.4e-05,2.0e-05,3.0e-05,3.7e-05,8.9e-09,3.5e-09,6.6e-05,4.0e-06,APO,"Otto Matic",15592,1977-08-19,2020-04-27,117,,,0,.5597,,,,,,,,,
20152664,"152664 (1998 FW4)",152664,,,Y,Y,0,19.68,,,,,,,,,,17.38,,,,,,,,,"JPL 123",2460600.5,60600,2024-10-17.0,J2000,0.7143,2.525,0.721,3.42,353.60,85.47,264.00,4.33,0.2456,2460991.32,2025-11-11.8,1.47e+03,4.01,0.0151,5.88,1.03,3.03,8.0e-09,2.5e-09,2.0e-08,5.0e-06,1.4e-05,1.5e-05,1.0e-06,4.3e-09,3.7e-10,4.7e-06,2.2e-06,APO,"Otto Matic",10194,1994-03-09,2022-02-04,595,11,7,0,.38351,,,,1.9e-14,6.0e-15,,,,
20152671,"152671 (1998 HL3)",152671,,,Y,Y,0,20.24,,,,,,,0.298,,0.200,,,,,,,,,0.01,"JPL 126",2460600.5,60600,2024-10-17.0,J2000,0.3659,1.129,0.716,2.68,163.64,188.16,286.27,1.54,0.8216,2460690.24,2025-01-14.7,438,1.2,0.0453,17.6,3.88,5.47,4.8e-08,3.4e-09,5.4e-08,2.8e-06,8.0e-05,7.9e-05,1.5e-05,4.7e-09,3.7e-09,1.8e-05,2.0e-06,APO,"Otto Matic",9399,1998-04-21,2024-01-14,538,,,0,.53151,,,,-4.9e-14,7.0e-15,,,,
20152680,"152680 (1998 KJ9)",152680,,,Y,Y,0,19.50,,,,,,,,,,,,,,,,,,,"JPL 42",2460600.5,60600,2024-10-17.0,J2000,0.6396,1.448,0.522,10.93,98.54,260.12,16.67,2.37,0.5658,2460571.04,2024-09-17.5,636,1.74,0.0057,2.22,3.13,4.39,4.9e-08,2.3e-09,7.1e-08,7.2e-06,3.7e-05,3.6e-05,1.8e-05,3.7e-09,1.3e-09,3.1e-05,1.5e-06,APO,"Otto Matic",12572,1990-01-01,2024-06-03,244,,,0,.5365,,,,,,,,,
20152685,"152685 (1998 MZ)",152685,,,Y,Y,0,19.34,,,,,,,,,,,,,,,,,,,"JPL 137",2460600.5,60600,2024-10-17.0,J2000,0.5729,1.346,0.575,0.15,122.28,39.24,349.07,2.12,0.631,2460617.83,2024-11-03.3,571,1.56,0.00158,0.616,2.87,4.7,2.0e-08,1.9e-09,2.7e-08,2.8e-06,9.2e-04,9.2e-04,4.8e-06,2.9e-09,1.3e-09,7.6e-06,1.2e-06,APO,"Otto Matic",9142,1998-06-18,2023-06-29,458,1,1,0,.53241,,,,,,,,,
20152754,"152754 (1999 GS6)",152754,,,Y,Y,0,19.31,,,,,,,0.414,,0.216,8.021,,,,,,,,0.08,"JPL 87",2460600.5,60600,2024-10-17.0,J2000,0.4974,1.191,0.599,2.02,314.42,134.97,283.40,1.78,0.7582,2460701.53,2025-01-26.0,475,1.3,0.0189,7.35,3.45,5.2,2.5e-08,4.7e-09,3.1e-08,3.5e-06,6.2e-05,6.4e-05,1.4e-05,7.0e-09,4.5e-09,1.9e-05,2.8e-06,APO,"Otto Matic",9178,1999-04-15,2024-05-31,407,,,0,.41593,,,,-2.7e-14,6.3e-15,,,,
20152770,"152770 (1999 RR28)",152770,,,Y,Y,0,18.41,,,,,,,,,,,,,,,,,,,"JPL 133",2460600.5,60600,2024-10-17.0,J2000,0.6542,1.879,0.650,7.14,178.16,284.58,231.90,3.11,0.3828,2460935.14,2025-09-16.6,940,2.57,0.0161,6.25,2.14,3.67,1.1e-08,7.2e-10,2.1e-08,5.2e-06,1.4e-05,1.3e-05,2.1e-06,1.2e-09,2.2e-10,5.7e-06,5.4e-07,APO,"Otto Matic",13198,1987-04-20,2023-06-08,718,6,1,0,.38961,,,,,,,,,
20152828,"152828 (1999 VT25)",152828,,,Y,Y,0,21.28,,,,,,,,,,,,,,,,,,,"JPL 47",2460600.5,60600,2024-10-17.0,J2000,0.5231,1.162,0.554,5.15,221.94,319.24,253.70,1.77,0.7867,2460735.62,2025-03-01.1,458,1.25,0.0483,18.8,3.2,5.28,9.0e-08,1.3e-08,1.0e-07,1.3e-05,3.8e-05,4.4e-05,4.2e-05,2.0e-08,1.3e-08,5.5e-05,7.6e-06,APO,"Otto Matic",7613,1999-11-12,2020-09-15,134,,,0,.45527,,,,7.3e-14,1.8e-14,,,,
20152978,"152978 (2000 GJ147)",152978,,,Y,Y,0,19.57,,,,,,,0.531,,0.109,10.009,,,,,S:,,,0.01,"JPL 168",2460600.5,60600,2024-10-17.0,J2000,0.2367,1.162,0.887,25.01,57.85,240.80,134.02,1.44,0.7866,2460430.11,2024-04-29.6,458,1.25,0.0239,9.29,3.75,5.31,3.7e-08,1.2e-09,4.3e-08,7.1e-06,4.8e-06,1.1e-05,1.4e-05,1.5e-09,1.2e-09,1.8e-05,6.9e-07,APO,"Otto Matic",7583,2000-04-13,2021-01-16,688,,,0,.52463,,,,,,,,,
20153002,"153002 (2000 JG5)",153002,,,Y,Y,0,18.28,,,,,,,,,,6.051,,,,,S:,,,,"JPL 79",2460600.5,60600,2024-10-17.0,J2000,0.7961,1.341,0.273,31.43,213.04,233.45,307.51,2.41,0.635,2460683.17,2025-01-07.6,567,1.55,0.0284,11,3.24,4.41,7.7e-08,3.1e-09,1.0e-07,1.3e-05,1.6e-05,1.4e-05,1.8e-05,5.5e-09,2.2e-09,2.8e-05,1.9e-06,APO,"Otto Matic",8859,2000-05-02,2024-08-03,419,,,0,.53719,,,,,,,,,
20153220,"153220 (2000 YN29)",153220,,,Y,Y,0,17.41,,,,,,,,,,,,,,,,,,,"JPL 62",2460600.5,60600,2024-10-17.0,J2000,0.6683,2.542,0.843,6.23,64.22,142.59,288.37,4.24,0.2431,2460895.10,2025-08-07.6,1.48e+03,4.05,0.0313,12.2,0.745,3.08,1.5e-07,1.0e-07,4.2e-07,4.2e-05,7.2e-05,7.7e-05,2.8e-05,1.7e-07,1.4e-08,1.3e-04,8.8e-05,APO,"Otto Matic",8621,1997-06-08,2021-01-14,178,,,0,.64947,,,,,,,,,
20153311,"153311 (2001 MG1)",153311,,,Y,Y,0,17.40,,,,,,,,,,,,,,,,,,,"JPL 84",2460600.5,60600,2024-10-17.0,J2000,0.6459,2.502,0.886,28.40,142.33,218.52,304.13,4.12,0.2491,2460824.77,2025-05-29.2,1.45e+03,3.96,0.0384,15,1.72,3.01,8.7e-08,2.1e-08,2.2e-07,3.7e-05,2.3e-05,3.1e-05,2.6e-05,3.5e-08,3.2e-09,1.1e-04,1.8e-05,APO,"Otto Matic",11923,1989-07-01,2022-02-21,224,,,0,.56439,,,,,,,,,
20153814,"153814 (2001 WN5)",153814,,,Y,Y,0,18.29,,,,,,,0.932,,0.097,4.253,,,,,,,,0.01,"JPL 187",2460600.5,60600,2024-10-17.0,J2000,0.4670,1.712,0.912,1.92,277.35,44.67,110.47,2.51,0.4401,2460349.48,2024-02-08.9,818,2.24,0.0015,0.584,2.83,4.05,7.1e-09,1.3e-09,1.2e-08,1.7e-06,8.3e-05,8.3e-05,1.2e-06,1.9e-09,5.0e-10,2.6e-06,9.3e-07,APO,"Otto Matic",9864,1996-02-10,2023-02-12,998,4,0,0,.3973,,,,,,,,,
20153958,"153958 (2002 AM31)",153958,,,Y,Y,1,18.36,,,,,,,,,,2.8174,,,,,,,,,"JPL 151",2460600.5,60600,2024-10-17.0,J2000,0.4515,1.703,0.934,4.64,144.37,197.96,166.89,2.47,0.4435,2460224.17,2023-10-06.6,812,2.22,0.0314,12.2,2.94,4.07,8.5e-09,2.4e-09,1.4e-08,1.9e-06,1.2e-05,9.2e-06,4.8e-06,3.5e-09,9.5e-10,1.0e-05,1.7e-06,APO,"Otto Matic",14910,1983-05-07,2024-03-02,810,7,1,0,.43613,,,,,,,,,
20154019,"154019 (2002 CZ9)",154019,,,Y,Y,0,22.07,,,,,,,,,,,,,,,,,,,"JPL 13",2460600.5,60600,2024-10-17.0,J2000,0.3601,1.325,0.848,4.97,142.84,80.88,264.53,1.80,0.6459,2460748.30,2025-03-13.8,557,1.53,0.026,10.1,3.18,4.86,1.4e-07,3.0e-08,1.7e-07,2.0e-05,4.8e-05,5.8e-05,1.9e-04,4.0e-08,2.2e-08,3.0e-04,1.9e-05,APO,"Otto Matic",1269,2002-01-10,2005-07-02,69,,,1,.77093,,,,,,,,,
20154269,"154269 (2002 SM)",154269,,,Y,Y,0,17.87,,,,,,,,,,,,,,,,,,,"JPL 81",2460600.5,60600,2024-10-17.0,J2000,0.4865,1.872,0.961,14.40,10.78,217.51,300.04,2.78,0.3849,2460756.29,2025-03-21.7,935,2.56,0.0251,9.78,2.28,3.79,6.0e-08,1.3e-08,1.1e-07,8.5e-06,1.9e-05,2.3e-05,3.0e-05,1.9e-08,3.9e-09,8.0e-05,9.4e-06,APO,"Otto Matic",7752,2002-09-13,2023-12-04,303,,,0,.59443,,,,,,,,,
20154275,"154275 (2002 SR41)",154275,,,Y,Y,0,20.13,,,,,,,,,,2.283,,,,,,,,,"JPL 98",2460600.5,60600,2024-10-17.0,J2000,0.4907,1.084,0.552,11.58,247.77,258.20,119.73,1.62,0.8737,2460463.47,2024-06-01.9,412,1.13,0.0355,13.8,3.46,5.58,2.3e-08,6.9e-10,2.5e-08,2.9e-06,1.2e-05,1.1e-05,5.3e-06,1.0e-09,8.3e-10,6.0e-06,3.9e-07,APO,"Otto Matic",7586,2002-09-30,2023-07-08,486,0,2,0,.43982,,,,,,,,,
20154276,"154276 (2002 SY50)",154276,,,Y,Y,0,17.64,,,,,,,1.060,,0.143,4.823,,,,,,,,0.35,"JPL 151",2460600.5,60600,2024-10-17.0,J2000,0.6888,1.704,0.530,8.75,34.03,99.68,288.08,2.88,0.4429,2460762.88,2025-03-28.3,813,2.23,0.00387,1.5,2.25,3.87,1.5e-08,7.0e-09,2.4e-08,3.9e-06,1.2e-05,1.2e-05,5.1e-06,1.2e-08,2.7e-09,1.2e-05,5.0e-06,APO,"Otto Matic",8071,2002-08-25,2024-09-29,1015,5,2,0,.36095,,,,,,,,,
20154302,"154302 (2002 UQ3)",154302,,,Y,Y,0,17.69,,,,,,,,,,4.329,,,,,,,,,"JPL 139",2460600.5,60600,2024-10-17.0,J2000,0.5615,1.72,0.754,28.83,222.70,280.97,230.42,2.69,0.4371,2460896.95,2025-08-09.4,824,2.25,0.0404,15.7,2.93,3.86,3.3e-08,1.6e-09,5.7e-08,6.1e-06,5.4e-06,7.9e-06,6.1e-06,2.5e-09,6.0e-10,1.4e-05,1.1e-06,APO,"Otto Matic",7997,2002-10-05,2024-08-27,916,,,0,.44914,,,,,,,,,
20154330,"154330 (2002 VX94)",154330,,,Y,Y,0,18.19,,,,,,,,,,8.932,,,,,,,,,"JPL 144",2460600.5,60600,2024-10-17.0,J2000,0.4086,1.477,0.873,7.16,320.06,215.23,353.41,2.08,0.5493,2460612.50,2024-10-29.0,655,1.79,0.032,12.4,2.9,4.49,2.7e-08,3.5e-09,4.0e-08,3.1e-06,2.7e-05,2.7e-05,9.6e-06,5.0e-09,2.0e-09,1.7e-05,2.4e-06,APO,"Otto Matic",13465,1986-11-27,2023-10-09,553,,,0,.54587,,,,,,,,,
20154590,"154590 (2003 MA3)",154590,,,Y,Y,0,21.71,,,,,,,0.086,,0.530,,,,,,,,,0.00,"JPL 41",2460600.5,60600,2024-10-17.0,J2000,0.4022,1.105,0.661,1.42,152.67,228.88,56.99,1.55,0.8484,2460533.33,2024-08-10.8,424,1.16,0.0131,5.1,3.91,5.55,6.3e-08,1.0e-08,7.0e-08,4.0e-06,2.7e-04,2.7e-04,2.9e-05,1.4e-08,1.2e-08,3.4e-05,5.9e-06,APO,"Otto Matic",7418,1998-01-29,2018-05-22,116,,,0,.49171,,,,-7.4e-14,1.6e-14,,,,
20155338,"155338 (2006 MZ1)",155338,,,Y,Y,0,20.40,,,,,,,,,,,,,,,,,,,"JPL 25",2460600.5,60600,2024-10-17.0,J2000,0.4826,1.569,0.812,2.08,226.58,138.70,81.14,2.33,0.5014,2460438.66,2024-05-08.1,718,1.97,0.013,5.04,3.13,4.28,9.3e-08,3.0e-08,1.4e-07,1.4e-05,6.3e-04,6.3e-04,1.1e-04,4.5e-08,1.5e-08,2.1e-04,2.1e-05,APO,"Otto Matic",1700,2002-06-16,2007-02-10,134,,,0,.58129,,,,,,,,,
20159504,"159504 (2000 WO67)",159504,,,Y,Y,0,16.97,,,,,,,2.324,,0.052,7.84,,,,,,,,0.02,"JPL 161",2460600.5,60600,2024-10-17.0,J2000,0.6172,2.433,0.931,9.69,107.57,237.82,138.95,3.93,0.2597,2460065.47,2023-04-30.9,1.39e+03,3.8,0.0497,19.4,1.59,3.2,1.9e-08,1.4e-08,4.6e-08,5.4e-06,2.4e-05,2.5e-05,8.1e-06,2.3e-08,2.3e-09,2.7e-05,1.2e-05,APO,"Otto Matic",8477,2000-11-27,2024-02-12,720,,,0,.45196,,,,,,,,,
20159857,"159857 (2004 LJ1)",159857,,,Y,Y,0,15.47,,,,,,,3.070,,0.130,2.72627,,,,,,,,1.32,"JPL 401",2460600.5,60600,2024-10-17.0,J2000,0.5935,2.263,0.920,23.15,235.54,140.02,319.37,3.61,0.2895,2460740.84,2025-03-06.3,1.24e+03,3.4,0.0159,6.19,2.15,3.27,1.5e-09,1.1e-09,3.3e-09,9.8e-08,4.8e-07,3.9e-07,8.7e-07,1.7e-09,2.1e-10,3.1e-06,8.8e-07,APO,"Otto Matic",10720,1995-02-03,2024-06-10,3293,,,0,.39881,,,,,,,,,
20161989,"161989 Cacus (1978 CA)",161989,Cacus,,Y,Y,0,17.31,,,,,,,1.9,,0.09,3.7538,,0.910,0.484,,,S,,,"JPL 288",2460600.5,60600,2024-10-17.0,J2000,0.2139,1.123,0.883,26.06,161.21,102.09,338.81,1.36,0.8285,2460626.08,2024-11-11.5,435,1.19,0.0153,5.96,3.81,5.45,2.4e-09,4.1e-10,2.6e-09,1.4e-07,1.5e-07,4.5e-07,3.6e-07,5.0e-10,4.5e-10,4.5e-07,2.4e-07,APO,"Otto Matic",16425,1978-02-08,2023-01-28,1792,5,0,0,.47422,,,,-9.2e-15,1.5e-15,,,,
20162000,"162000 (1990 OS)",162000,,,Y,Y,1,19.64,,,,,,,0.4,,,2.536,,,,,,,,,"JPL 99",2460600.5,60600,2024-10-17.0,J2000,0.4624,1.678,0.902,1.09,346.51,21.59,239.67,2.45,0.4532,2460865.99,2025-07-09.4,794,2.17,0.00896,3.49,3.01,4.11,2.2e-08,1.9e-09,3.8e-08,1.6e-06,1.8e-04,1.8e-04,8.4e-06,2.8e-09,7.8e-10,1.9e-05,1.4e-06,APO,"Otto Matic",12258,1990-07-21,2024-02-11,426,5,4,0,.45479,,,,,,,,,
20162039,"162039 (1996 JG)",162039,,,Y,Y,0,19.06,,,,,,,,,,,,,,,,,,,"JPL 68",2460600.5,60600,2024-10-17.0,J2000,0.6604,1.802,0.612,5.28,52.83,280.26,246.30,2.99,0.4076,2460879.45,2025-07-22.9,883,2.42,0.0122,4.74,2.41,3.77,3.2e-08,3.6e-09,5.6e-08,7.2e-06,1.5e-05,1.7e-05,1.4e-05,6.0e-09,1.2e-09,3.4e-05,2.6e-06,APO,"Otto Matic",9009,1996-05-08,2021-01-06,482,3,3,0,.51704,,,,,,,,,
20162082,"162082 (1998 HL1)",162082,,,Y,Y,0,19.12,,,,,,,,,,11.7864,,,,,,,,,"JPL 170",2460600.5,60600,2024-10-17.0,J2000,0.1870,1.246,1.013,20.05,213.53,148.66,228.22,1.48,0.7084,2460786.53,2025-04-21.0,508,1.39,0.0416,16.2,3.92,5.08,6.9e-09,1.9e-09,8.1e-09,3.8e-06,7.8e-07,5.1e-06,3.8e-06,2.3e-09,1.6e-09,5.6e-06,1.2e-06,APO,"Otto Matic",9360,1998-04-18,2023-12-03,2120,3,1,0,.31887,,,,,,,,,
20162116,"162116 (1998 SA15)",162116,,,Y,Y,0,19.54,,,,,,,0.538,,0.116,,,,,,,,,0.17,"JPL 32",2460600.5,60600,2024-10-17.0,J2000,0.5585,1.916,0.846,7.11,114.17,331.44,267.66,2.99,0.3717,2460848.93,2025-06-22.4,969,2.65,0.0465,18.1,2.29,3.71,6.3e-08,6.1e-09,1.2e-07,6.1e-06,9.9e-05,1.0e-04,1.2e-05,9.5e-09,1.8e-09,3.4e-05,4.6e-06,APO,"Otto Matic",8971,1998-09-21,2023-04-14,91,,,0,.57485,,,,,,,,,
20162120,"162120 (1998 SH36)",162120,,,Y,Y,0,20.65,,,,,,,,,,,,,,,,,,,"JPL 64",2460600.5,60600,2024-10-17.0,J2000,0.5709,1.088,0.467,2.13,217.82,278.85,279.53,1.71,0.8687,2460693.13,2025-01-17.6,414,1.13,0.012,4.67,3.34,5.53,7.4e-08,5.3e-10,8.0e-08,5.4e-06,1.2e-04,1.2e-04,9.8e-06,8.3e-10,6.4e-10,1.1e-05,3.0e-07,APO,"Otto Matic",9481,1998-09-26,2024-09-10,255,,,0,.54356,,,,,,,,,
20162162,"162162 (1999 DB7)",162162,,,Y,Y,0,19.99,,,,,,,,,,,,,,,,,,,"JPL 73",2460600.5,60600,2024-10-17.0,J2000,0.1949,1.206,0.971,10.84,157.59,29.93,110.33,1.44,0.7444,2460452.28,2024-05-21.7,484,1.32,0.00348,1.35,3.52,5.24,4.4e-08,4.9e-09,5.6e-08,5.1e-06,1.3e-05,2.5e-05,3.1e-05,5.8e-09,4.5e-09,4.1e-05,2.9e-06,APO,"Otto Matic",9047,1999-02-27,2023-12-05,295,,,0,.48427,,,,2.8e-14,9.8e-15,,,,
20162173,"162173 Ryugu (1999 JU3)",162173,Ryugu,,Y,Y,0,19.55,,,,,,,0.896,1.004x0.876,0.045,7.63262,3.00e-8,,,,Cb,,,0.00,"JPL 256",2460600.5,60600,2024-10-17.0,J2000,0.1911,1.191,0.963,5.87,251.29,211.61,327.33,1.42,0.7583,2460643.59,2024-11-29.0,475,1.3,0.00117,0.456,3.7,5.3,1.0e-08,4.1e-09,1.5e-08,4.5e-07,2.7e-06,3.8e-06,2.7e-06,4.9e-09,3.9e-09,3.7e-06,2.4e-06,APO,"Otto Matic",14050,1986-04-14,2024-10-01,5019,2,0,0,.23041,,,,-2.5e-14,8.4e-15,,,,
20162183,"162183 (1999 NB5)",162183,,,Y,Y,0,21.25,,,,,,,,,,,,,,,,,,,"JPL 52",2460600.5,60600,2024-10-17.0,J2000,0.5351,2.072,0.963,1.43,235.31,123.19,143.03,3.18,0.3304,2460167.54,2023-08-11.0,1.09e+03,2.98,0.013,5.05,2.27,3.58,3.8e-08,1.9e-09,8.0e-08,6.5e-06,4.7e-04,4.7e-04,5.9e-06,2.9e-09,4.5e-10,1.8e-05,1.5e-06,APO,"Otto Matic",6765,1999-07-13,2018-01-19,185,,,0,.51575,,,,,,,,,
